SEMESTER,UT DAY,UT START TIME,UT END TIME,MJD START TIME,MJD END TIME,PROGRAM,OBSERVER
2000B,10-20,05:00:00.000,11:00:00.000,51837.208333333336,51837.458333333336,053,Spencer
2000B,10-21,04:00:00.000,09:59:00.000,51838.166666666664,51838.415972222225,117,Vacca
2000B,10-21,09:59:00.000,16:00:00.000,51838.415972222225,51838.666666666664,003,Griffith
2000B,10-21,11:00:00.000,17:00:00.000,51838.458333333336,51838.708333333336,003,Griffith
2000B,10-22,04:00:00.000,16:00:00.000,51839.166666666664,51839.666666666664,117,Vacca
2000B,10-23,04:00:00.000,16:00:00.000,51840.166666666664,51840.666666666664,117,Vacca
2000B,10-24,04:00:00.000,16:00:00.000,51841.166666666664,51841.666666666664,117,Vacca
2000B,10-25,04:00:00.000,09:59:00.000,51842.166666666664,51842.415972222225,027,Rayner
2000B,10-25,09:59:00.000,16:00:00.000,51842.415972222225,51842.666666666664,003,Griffith
2000B,10-26,04:00:00.000,16:00:00.000,51843.166666666664,51843.666666666664,083,Deming
2000B,10-27,04:00:00.000,16:00:00.000,51844.166666666664,51844.666666666664,999,Engineering
2000B,10-28,04:00:00.000,16:00:00.000,51845.166666666664,51845.666666666664,040,Trafton
2000B,10-29,04:00:00.000,16:00:00.000,51846.166666666664,51846.666666666664,040,Trafton
2000B,10-30,04:00:00.000,16:00:00.000,51847.166666666664,51847.666666666664,087,Evans
2000B,10-31,04:00:00.000,16:00:00.000,51848.166666666664,51848.666666666664,087,Evans
2000B,11-01,04:00:00.000,16:00:00.000,51849.166666666664,51849.666666666664,087,Evans
2000B,11-02,04:00:00.000,16:00:00.000,51850.166666666664,51850.666666666664,014,Bauer
2000B,11-03,04:00:00.000,09:59:00.000,51851.166666666664,51851.415972222225,027,Rayner
2000B,11-03,09:59:00.000,16:00:00.000,51851.415972222225,51851.666666666664,003,Griffith
2000B,11-04,04:00:00.000,16:00:00.000,51852.166666666664,51852.666666666664,027,Rayner
2000B,11-05,04:00:00.000,16:00:00.000,51853.166666666664,51853.666666666664,027,Rayner
2000B,11-06,04:00:00.000,16:00:00.000,51854.166666666664,51854.666666666664,080,Brooke
2000B,11-07,04:00:00.000,16:00:00.000,51855.166666666664,51855.666666666664,080,Brooke
2000B,11-08,04:00:00.000,16:00:00.000,51856.166666666664,51856.666666666664,080,Brooke
2000B,11-09,04:00:00.000,12:00:00.000,51857.166666666664,51857.5,080,Brooke
2000B,11-10,04:00:00.000,16:00:00.000,51858.166666666664,51858.666666666664,098,Wilking
2000B,11-10,12:00:00.000,16:00:00.000,51858.5,51858.666666666664,008,Beck
2000B,11-11,04:00:00.000,16:00:00.000,51859.166666666664,51859.666666666664,098,Wilking
2000B,11-12,04:00:00.000,16:00:00.000,51860.166666666664,51860.666666666664,098,Wilking
2000B,11-13,04:00:00.000,16:00:00.000,51861.166666666664,51861.666666666664,098,Wilking
2000B,11-14,04:00:00.000,16:00:00.000,51862.166666666664,51862.666666666664,104,Greene
2000B,11-15,04:00:00.000,16:00:00.000,51863.166666666664,51863.666666666664,104,Greene
2000B,11-16,04:00:00.000,16:00:00.000,51864.166666666664,51864.666666666664,104,Greene
2000B,11-17,04:00:00.000,16:00:00.000,51865.166666666664,51865.666666666664,048,Prato
2000B,11-18,04:00:00.000,16:00:00.000,51866.166666666664,51866.666666666664,048,Prato
2000B,11-19,04:00:00.000,16:00:00.000,51867.166666666664,51867.666666666664,048,Prato
2000B,11-20,04:00:00.000,16:00:00.000,51868.166666666664,51868.666666666664,023,Poulet
2000B,11-21,04:00:00.000,16:00:00.000,51869.166666666664,51869.666666666664,023,Poulet
2000B,11-22,04:00:00.000,16:00:00.000,51870.166666666664,51870.666666666664,113,Becklin
2000B,11-23,04:00:00.000,16:00:00.000,51871.166666666664,51871.666666666664,113,Becklin
2000B,11-24,04:00:00.000,16:00:00.000,51872.166666666664,51872.666666666664,113,Becklin
2000B,11-25,04:00:00.000,16:00:00.000,51873.166666666664,51873.666666666664,113,Becklin
2000B,11-26,04:00:00.000,16:00:00.000,51874.166666666664,51874.666666666664,999,Engineering
2000B,11-27,04:00:00.000,16:00:00.000,51875.166666666664,51875.666666666664,046,Lacy
2000B,11-28,04:00:00.000,16:00:00.000,51876.166666666664,51876.666666666664,084,Dinerstein
2000B,11-29,04:00:00.000,16:00:00.000,51877.166666666664,51877.666666666664,084,Dinerstein
2000B,11-30,04:00:00.000,16:00:00.000,51878.166666666664,51878.666666666664,057,Richter
2000B,12-01,04:00:00.000,16:00:00.000,51879.166666666664,51879.666666666664,057,Richter
2000B,12-02,04:00:00.000,16:00:00.000,51880.166666666664,51880.666666666664,029,Bezard
2000B,12-03,04:00:00.000,16:00:00.000,51881.166666666664,51881.666666666664,029,Bezard
2000B,12-04,04:00:00.000,16:00:00.000,51882.166666666664,51882.666666666664,999,Engineering
2000B,12-05,06:00:00.000,20:00:00.000,51883.25,51883.833333333336,013,Kostiuk
2000B,12-06,06:00:00.000,20:00:00.000,51884.25,51884.833333333336,013,Kostiuk
2000B,12-07,06:00:00.000,20:00:00.000,51885.25,51885.833333333336,013,Kostiuk
2000B,12-08,04:00:00.000,09:59:00.000,51886.166666666664,51886.415972222225,119,Goguen
2000B,12-08,09:59:00.000,16:00:00.000,51886.415972222225,51886.666666666664,999,Engineering
2000B,12-09,04:00:00.000,09:59:00.000,51887.166666666664,51887.415972222225,119,Goguen
2000B,12-09,09:59:00.000,16:00:00.000,51887.415972222225,51887.666666666664,999,Engineering
2000B,12-10,04:00:00.000,09:59:00.000,51888.166666666664,51888.415972222225,119,Goguen
2000B,12-10,09:59:00.000,16:00:00.000,51888.415972222225,51888.666666666664,999,Engineering
2000B,12-11,04:00:00.000,09:59:00.000,51889.166666666664,51889.415972222225,119,Goguen
2000B,12-11,09:59:00.000,14:00:00.000,51889.415972222225,51889.583333333336,008,Beck
2000B,12-12,04:00:00.000,09:30:00.000,51890.166666666664,51890.395833333336,119,Goguen
2000B,12-12,09:30:00.000,15:00:00.000,51890.395833333336,51890.625,054,Spencer
