SEMESTER,MJD START,MJD END,PROGRAM,PI
2000B,51917.166666666664,51917.666666666664,2000B006,Connerney
2000B,51918.0,51918.166666666664,2000B054,Spencer
2000B,51918.166666666664,51918.666666666664,2000B019,Walter
2000B,51919.166666666664,51919.666666666664,2000B019,Walter
2000B,51920.166666666664,51920.666666666664,2000B006,Connerney
2000B,51921.166666666664,51921.666666666664,2000B019,Walter
2000B,51921.666666666664,51921.916666666664,2000B097,Novak
2000B,51922.166666666664,51922.666666666664,2000B006,Connerney
2000B,51922.666666666664,51922.916666666664,2000B097,Novak
2000B,51923.166666666664,51923.604166666664,2000B019,Walter
2000B,51923.604166666664,51923.916666666664,2000B097,Novak
2000B,51924.291666666664,51924.458333333336,2000B008,Beck
2000B,51925.0,51925.25,2000B054,Spencer
2000B,51925.25,51925.666666666664,2000B106,Trilling
2000B,51926.166666666664,51926.666666666664,2000B106,Trilling
2000B,51927.166666666664,51927.666666666664,2000B106,Trilling
2000B,51928.166666666664,51928.666666666664,2000B017,Reid
2000B,51929.166666666664,51929.666666666664,2000B017,Reid
2000B,51930.166666666664,51930.666666666664,2000B074,Grundy
2000B,51931.166666666664,51931.666666666664,2000B999,Engineering
2000B,51932.0625,51932.3125,2000B054,Spencer
2000B,51932.3125,51932.666666666664,2000B027,Rayner
2000B,51933.166666666664,51933.666666666664,2000B027,Rayner
2000B,51934.166666666664,51934.666666666664,2000B027,Rayner
2000B,51935.166666666664,51935.666666666664,2000B091,Gordon
2000B,51936.166666666664,51936.666666666664,2000B091,Gordon
2000B,51937.166666666664,51937.666666666664,2000B074,Grundy
2000B,51938.166666666664,51938.666666666664,2000B005,Binzel
2000B,51939.166666666664,51939.666666666664,2000B005,Binzel
2000B,51940.166666666664,51940.666666666664,2000B025,Lynch
2000B,51941.166666666664,51941.666666666664,2000B025,Lynch
2001A,51942.166666666664,51942.415972222225,2001A085,Greathouse
2001A,51942.415972222225,51942.666666666664,2001A074,Lacy
2001A,51943.166666666664,51943.415972222225,2001A085,Greathouse
2001A,51943.415972222225,51943.666666666664,2001A074,Lacy
2001A,51944.166666666664,51944.415972222225,2001A085,Greathouse
2001A,51944.415972222225,51944.666666666664,2001A050,Richter
2001A,51945.166666666664,51945.415972222225,2001A085,Greathouse
2001A,51945.415972222225,51945.666666666664,2001A050,Richter
2001A,51946.166666666664,51946.415972222225,2001A060,Miller
2001A,51946.415972222225,51946.75,2001A071,Mumma
2001A,51946.415972222225,51946.75,2001A071,Mumma
2001A,51948.166666666664,51948.415972222225,2001A060,Miller
2001A,51948.415972222225,51948.75,2001A071,Mumma
2001A,51949.166666666664,51949.415972222225,2001A066,Tokunaga
2001A,51949.415972222225,51949.666666666664,2001A999,Engineering
2001A,51950.166666666664,51950.415972222225,2001A066,Tokunaga
2001A,51950.415972222225,51950.666666666664,2001A999,Engineering
2001A,51951.166666666664,51951.415972222225,2001A066,Tokunaga
2001A,51951.415972222225,51951.666666666664,2001A999,Engineering
2001A,51952.166666666664,51952.415972222225,2001A087,Chanover
2001A,51952.415972222225,51952.666666666664,2001A062,Cushing
2001A,51953.166666666664,51953.415972222225,2001A087,Chanover
2001A,51953.415972222225,51953.666666666664,2001A062,Cushing
2001A,51954.166666666664,51954.415972222225,2001A087,Chanover
2001A,51954.415972222225,51954.666666666664,2001A062,Cushing
2001A,51955.145833333336,51955.25,2001A077,Crisp
2001A,51955.25,51955.5625,2001A109,Emery
2001A,51955.5625,51955.916666666664,2001A100,Weaver
2001A,51956.145833333336,51956.25,2001A077,Crisp
2001A,51956.25,51956.5625,2001A109,Emery
2001A,51956.5625,51956.916666666664,2001A100,Weaver
2001A,51957.145833333336,51957.25,2001A077,Crisp
2001A,51957.25,51957.5625,2001A109,Emery
2001A,51957.5625,51957.916666666664,2001A100,Weaver
2001A,51958.145833333336,51958.25,2001A077,Crisp
2001A,51958.25,51958.645833333336,2001A109,Emery
2001A,51959.145833333336,51959.25,2001A077,Crisp
2001A,51959.25,51959.645833333336,2001A004,Binzel
2001A,51960.145833333336,51960.25,2001A077,Crisp
2001A,51960.25,51960.645833333336,2001A004,Binzel
2001A,51961.166666666664,51961.375,2001A060,Miller
2001A,51961.375,51961.666666666664,2001A026,Stockton
2001A,51962.166666666664,51962.375,2001A060,Miller
2001A,51962.375,51962.666666666664,2001A026,Stockton
2001A,51963.166666666664,51963.375,2001A060,Miller
2001A,51963.375,51963.666666666664,2001A026,Stockton
2001A,51964.166666666664,51964.666666666664,2001A999,Engineering
2001A,51964.833333333336,51964.666666666664,2001A091,Kostiuk
2001A,51964.833333333336,51964.666666666664,2001A091,Kostiuk
2001A,51964.833333333336,51964.666666666664,2001A091,Kostiuk
2001A,51964.833333333336,51964.666666666664,2001A091,Kostiuk
2001A,51969.166666666664,51969.666666666664,2001A999,Engineering
2001A,51970.166666666664,51970.666666666664,2001A999,Engineering
