SEMESTER,MJD START,MJD END,PI,PROGRAM
2000B,51924,51924.25,Spencer,2000B054
2000B,51924.25,51924.66667,Trilling,2000B106
2000B,51925.16667,51925.66667,Trilling,2000B106
2000B,51926.16667,51926.66667,Trilling,2000B106
2000B,51927.16667,51927.66667,Reid,2000B017
2000B,51928.16667,51928.66667,Reid,2000B017
2000B,51929.16667,51929.66667,Grundy,2000B074
2000B,51930.16667,51930.66667,Engineering,2000B999
2000B,51931.0625,51931.3125,Spencer,2000B054
2000B,51931.3125,51931.66667,Rayner,2000B027
2000B,51932.16667,51932.66667,Rayner,2000B027
2000B,51933.16667,51933.66667,Rayner,2000B027
2000B,51934.16667,51934.66667,Gordon,2000B091
2000B,51935.16667,51935.66667,Gordon,2000B091
2000B,51936.16667,51936.66667,Grundy,2000B074
2000B,51937.16667,51937.66667,Binzel,2000B005
2000B,51938.16667,51938.66667,Binzel,2000B005
2000B,51939.16667,51939.66667,Lynch,2000B025
2000B,51940.16667,51940.66667,Lynch,2000B025
2001A,51941.16667,51941.41597,Greathouse,2001A085
2001A,51941.41597,51941.66667,Lacy,2001A074
2001A,51942.16667,51942.41597,Greathouse,2001A085
2001A,51942.41597,51942.66667,Lacy,2001A074
2001A,51943.16667,51943.41597,Greathouse,2001A085
2001A,51943.41597,51943.66667,Richter,2001A050
2001A,51944.16667,51944.41597,Greathouse,2001A085
2001A,51944.41597,51944.66667,Richter,2001A050
2001A,51945.16667,51945.41597,Miller,2001A060
2001A,51945.41597,51945.75,Mumma,2001A071
2001A,51945.41597,51945.75,Mumma,2001A071
2001A,51947.16667,51947.41597,Miller,2001A060
2001A,51947.41597,51947.75,Mumma,2001A071
2001A,51948.16667,51948.41597,Tokunaga,2001A066
2001A,51948.41597,51948.66667,Engineering,2001A999
2001A,51949.16667,51949.41597,Tokunaga,2001A066
2001A,51949.41597,51949.66667,Engineering,2001A999
2001A,51950.16667,51950.41597,Tokunaga,2001A066
2001A,51950.41597,51950.66667,Engineering,2001A999
2001A,51951.16667,51951.41597,Chanover,2001A087
2001A,51951.41597,51951.66667,Cushing,2001A062
2001A,51952.16667,51952.41597,Chanover,2001A087
2001A,51952.41597,51952.66667,Cushing,2001A062
2001A,51953.16667,51953.41597,Chanover,2001A087
2001A,51953.41597,51953.66667,Cushing,2001A062
2001A,51954.14583,51954.25,Crisp,2001A077
2001A,51954.25,51954.5625,Emery,2001A109
2001A,51955.14583,51955.25,Crisp,2001A077
2001A,51955.25,51955.5625,Emery,2001A109
