SEMESTER,MJD START,MJD END,PI,PROGRAM
2012A,56043.16667,56043.41597,Trafton,2012A031
2012A,56043.41667,56043.43056,Schaller,2012A059
2012A,56043.43056,56043.66667,Luhman,2012A028
2012A,56044.16667,56044.41597,Canalizo,2012A052
2012A,56044.41667,56044.66667,Canalizo,2012A052
2012A,56045.16667,56045.41597,Tokunaga,2012A010
2012A,56045.41667,56045.43056,Schaller,2012A059
2012A,56045.43056,56045.66667,Canalizo,2012A052
2012A,56046.16667,56046.41597,Liu,2012A081
2012A,56046.41667,56046.43056,Schaller,2012A059
2012A,56046.43056,56046.66667,Tokunaga,2012A010
2012A,56047.16667,56047.29167,Rivkin,2012A027
2012A,56047.29167,56047.41597,Newton,2012A093
2012A,56047.41667,56047.43056,Schaller,2012A059
2012A,56047.43056,56047.66667,Liu,2012A081
2012A,56048.16667,56048.41597,Newton,2012A093
2012A,56048.41667,56048.58333,Lisse,2012A044
2012A,56048.58333,56048.66667,Newton,2012A093
2012A,56049.16667,56049.41597,Terrien,2012A075
2012A,56049.41667,56049.58333,Lisse,2012A044
2012A,56049.58333,56049.66667,Newton,2012A093
2012A,56050.16667,56050.41597,Terrien,2012A075
2012A,56050.41667,56050.43056,Schaller,2012A059
2012A,56050.43056,56050.66667,Terrien,2012A075
2012A,56051.16667,56051.41597,Terrien,2012A075
2012A,56051.41667,56051.43056,Schaller,2012A059
2012A,56051.43056,56051.66667,Terrien,2012A075
2012A,56052.16667,56052.41597,Terrien,2012A075
2012A,56052.41667,56052.43056,Schaller,2012A059
2012A,56052.43056,56052.66667,Terrien,2012A075
2012A,56053.16667,56053.41597,Terrien,2012A075
2012A,56053.41667,56053.43056,Schaller,2012A059
2012A,56053.43056,56053.66667,Terrien,2012A075
2012A,56054.16667,56054.41597,Terrien,2012A075
2012A,56054.41667,56054.43056,Schaller,2012A059
2012A,56054.43056,56054.66667,Terrien,2012A075
2012A,56055.16667,56055.41597,Terrien,2012A075
2012A,56055.41667,56055.66667,Plavchan,2012A065
2012A,56056.16667,56056.41597,Kransnopolsky,2012A021
2012A,56056.41667,56056.66667,Plavchan,2012A065
2012A,56057.16667,56057.41597,Kransnopolsky,2012A021
2012A,56057.41667,56057.66667,Plavchan,2012A065
2012A,56058.16667,56058.5,Gagne,2012A097
2012A,56058.41667,56058.66667,Plavchan,2012A065
2012A,56059.16667,56059.41597,Cushing,2012A080
2012A,56059.5,56059.66667,Olkin,2012A045
2012A,56060.16667,56060.5,Stallard,2012A024
2012A,56060.41667,56060.43056,Schaller,2012A059
2012A,56060.43056,56060.5,Cushing,2012A080
2012A,56060.5,56060.66667,Olkin,2012A045
2012A,56061.16667,56061.5,Stallard,2012A024
2012A,56061.5,56061.66667,Olkin,2012A045
2012A,56062.16667,56062.5,Stallard,2012A024
2012A,56062.5,56062.66667,Olkin,2012A045
2012A,56063.16667,56063.5,Stallard,2012A024
2012A,56063.5,56063.66667,Olkin,2012A045
2012A,56064.5,56064.66667,Olkin,2012A045
2012A,56064.95833,56064.45833,Livengood,2012A091
2012A,56065.45833,56065.66667,Engineering,2012A999
2012A,56065.95833,56065.45833,Livengood,2012A091
2012A,56066.95833,56066.45833,Livengood,2012A091
2012A,56067.95833,56067.45833,Livengood,2012A091
2012A,56068.95833,56068.45833,Livengood,2012A091
2012A,56069.16667,56069.45833,Sonnabend,2012A025
2012A,56069.95833,56069.16667,Sornig,2012A020
2012A,56070.16667,56070.45833,Sonnabend,2012A025
2012A,56070.95833,56070.16667,Sornig,2012A020
2012A,56071.16667,56071.45833,Sonnabend,2012A025
2012A,56071.95833,56071.16667,Sornig,2012A020
2012A,56072.16667,56072.41597,Tokunaga,2012A010
2012A,56073.16667,56073.35417,Liu,2012A081
2012A,56073.35417,56073.54167,Bloemhard,2012A094
2012A,56073.41667,56073.43056,Schaller,2012A059
2012A,56073.43056,56073.66667,Tokunaga,2012A010
2012A,56074.16667,56074.375,Binzel,2012A013
2012A,56074.375,56074.54167,Swain,2012A030
2012A,56074.54167,56074.66667,Engineering,2012A999
2012A,56075.16667,56075.41597,Hilton,2012A096
2012A,56075.54167,56075.66667,Cushing,2012A080
2012A,56076.16667,56076.41597,Burgasser,2012A086
2012A,56076.41667,56076.43056,Schaller,2012A059
2012A,56076.43056,56076.66667,Hilton,2012A096
2012A,56077.16667,56077.41597,Takir,2012A063
2012A,56077.41667,56077.43056,Schaller,2012A059
2012A,56077.43056,56077.66667,Burgasser,2012A086
2012A,56078.16667,56078.47917,Liu,2012A081
2012A,56078.41667,56078.43056,Schaller,2012A059
2012A,56078.43056,56078.66667,Takir,2012A063
2012A,56079.16667,56079.18056,Schaller,2012A059
2012A,56079.18056,56079.66667,Fieber-Beyer,2012A016
2012A,56079.47917,56079.66667,Engineering,2012A999
2012A,56080.16667,56080.45833,Stallard,2012A024
2012A,56081.16667,56081.18056,Schaller,2012A059
2012A,56081.18056,56081.29167,Rivkin,2012A027
2012A,56081.29167,56081.66667,Adams,2012A036
2012A,56081.45833,56081.66667,Hilton,2012A096
2012A,56082.16667,56082.66667,Fieber-Beyer,2012A016
2012A,56083.16667,56083.18056,Schaller,2012A059
2012A,56083.18056,56083.66667,DeMeo,2012A006
2012A,56084.16667,56084.35417,Engineering,2012A999
2012A,56084.35417,56084.66667,Teske,2012A056
2012A,56085.16667,56085.18056,Schaller,2012A059
2012A,56085.18056,56085.45833,Scholz,2012A005
2012A,56086.16667,56086.18056,Schaller,2012A059
2012A,56086.18056,56086.45833,Scholz,2012A005
2012A,56086.45833,56086.66667,Mann,2012A069
2012A,56087.16667,56087.18056,Schaller,2012A059
2012A,56087.18056,56087.45833,Scholz,2012A005
2012A,56087.45833,56087.66667,Mann,2012A069
2012A,56088.16667,56088.33333,Engineering,2012A999
2012A,56088.33333,56088.5,Gulbis,2012A019
2012A,56088.45833,56088.66667,Mann,2012A069
2012A,56089.16667,56089.18056,Schaller,2012A059
2012A,56089.18056,56089.45833,Lu,2012A079
2012A,56089.5,56089.66667,Mann,2012A069
2012A,56090.16667,56090.18056,Schaller,2012A059
2012A,56090.18056,56090.35417,Bus,2012A084
2012A,56090.35417,56090.52083,Bloemhard,2012A094
2012A,56090.45833,56090.66667,Mann,2012A069
2012A,56091.16667,56091.18056,Schaller,2012A059
2012A,56091.18056,56091.32292,Bus,2012A084
2012A,56091.32292,56091.58333,Teske,2012A056
2012A,56091.52083,56091.66667,Bus,2012A084
2012A,56092.16667,56092.18056,Schaller,2012A059
2012A,56092.18056,56092.33333,Jackson,2012A998
2012A,56092.33333,56092.5,Bloemhard,2012A094
2012A,56092.58333,56092.66667,Bus,2012A084
2012A,56093.16667,56093.18056,Schaller,2012A059
2012A,56093.18056,56093.33333,Jackson,2012A998
2012A,56093.33333,56093.5,Swain,2012A030
2012A,56093.5,56093.66667,Jackson,2012A998
2012A,56094.16667,56094.35417,Engineering,2012A999
2012A,56094.35417,56094.54167,Bloemhard,2012A094
2012A,56094.5,56094.66667,Jackson,2012A998
2012A,56095.16667,56095.18056,Schaller,2012A059
2012A,56095.18056,56095.66667,Trilling,2012A060
2012A,56095.54167,56095.66667,Young,2012A018
2012A,56096.16667,56096.18056,Schaller,2012A059
2012A,56096.18056,56096.66667,Trilling,2012A060
2012A,56097.16667,56097.18056,Schaller,2012A059
2012A,56097.18056,56097.66667,Trilling,2012A060
2012A,56098.16667,56098.41597,Orton,2012A007
2012A,56099.16667,56099.41597,Orton,2012A007
2012A,56099.41667,56099.66667,Plavchan,2012A065
2012A,56100.16667,56100.41597,McCollum,2012A085
2012A,56100.41667,56100.66667,Plavchan,2012A065
2012A,56101.16667,56101.41597,McCollum,2012A085
2012A,56101.41667,56101.66667,Plavchan,2012A065
2012A,56102.16667,56102.18056,Schaller,2012A059
2012A,56102.18056,56102.54167,Reddy,2012A011
2012A,56102.41667,56102.66667,Plavchan,2012A065
2012A,56103.16667,56103.18056,Schaller,2012A059
2012A,56103.18056,56103.54167,Reddy,2012A011
2012A,56103.54167,56103.66667,Young,2012A018
2012A,56104.16667,56104.18056,Schaller,2012A059
2012A,56104.18056,56104.66667,Rivkin,2012A039
2012A,56104.54167,56104.66667,Engineering,2012A999
2012A,56105.16667,56105.18056,Schaller,2012A059
2012A,56105.18056,56105.66667,Rivkin,2012A039
2012A,56106.16667,56106.18056,Schaller,2012A059
2012A,56106.18056,56106.41597,Lu,2012A079
2012A,56107.16667,56107.66667,Egineering,2012A999
2012A,56107.41667,56107.58333,Gulbis,2012A019
2012A,56107.58333,56107.66667,Young,2012A018
2012A,56108.16666,56108.18055,Schaller,2012A059
2012A,56108.18055,56108.66666,Marchis,2012A067
2012A,56109.16667,56109.18056,Schaller,2012A059
2012A,56109.18056,56109.41597,Engineering,2012A999
2012A,56110.16667,56110.3125,Rivkin,2012A027
2012A,56110.3125,56110.66667,Howell,2012A029
2012A,56110.41667,56110.66667,Gizis,2012A092
2012A,56111.16667,56111.36806,Engineering,2012A999
2012A,56111.36806,56111.66667,Teske,2012A056
2012A,56112.16667,56112.18056,Schaller,2012A059
2012A,56112.18056,56112.66667,Liu,2012A081
2012A,56113.16667,56113.18056,Schaller,2012A059
2012A,56113.18056,56113.66667,Liu,2012A081
2012A,56114.16667,56114.18056,Schaller,2012A059
2012A,56114.18056,56114.66667,Liu,2012A087
2012A,56115.16667,56115.18056,Schaller,2012A059
2012A,56115.18056,56115.66667,Liu,2012A087
2012A,56116.16667,56116.18056,Schaller,2012A059
2012A,56116.18056,56116.66667,Burgasser,2012A086
2012A,56117.16667,56117.66667,Engineering,2012A999
2012A,56118.16667,56118.66667,Engineering,2012A999
2012A,56119.16667,56119.33333,Engineering,2012A999
2012A,56119.33333,56119.66667,Howell,2012A029
2012A,56119.66667,56119,Iwagami,2012A043
2012A,56120.16667,56120.3125,Takir,2012A063
2012A,56120.3125,56120.47917,Bloemhard,2012A094
2012A,56120.66667,56120,Iwagami,2012A043
2012A,56121.16667,56121.18056,Schaller,2012A059
2012A,56121.18056,56121.66667,Metchev,2012A089
2012A,56121.47917,56121.66667,Takir,2012A063
2012A,56121.66667,56121,Iwagami,2012A043
2012A,56122.16667,56122.18056,Schaller,2012A059
2012A,56122.18056,56122.66667,Metchev,2012A089
2012A,56122.66667,56122,Iwagami,2012A043
2012A,56123.16667,56123.18056,Schaller,2012A059
2012A,56123.18056,56123.41597,Wolters,2012A070
2012A,56123.66667,56123,Iwagami,2012A043
2012A,56124.16667,56124.18056,Schaller,2012A059
2012A,56124.18056,56124.375,Cushing,2012A080
2012A,56124.375,56124.66667,Tokunaga,2012A010
2012A,56124.41667,56124.66667,Howell,2012A029
2012A,56124.66667,56124,Iwagami,2012A043
2012A,56125.16667,56125.3125,Engineering,2012A999
2012A,56125.3125,56125.56944,Teske,2012A056
2012A,56126.16667,56126.18056,Schaller,2012A059
2012A,56126.18056,56126.41597,Cushing,2012A080
2012A,56126.56944,56126.66667,Young,2012A018
2012A,56127.16667,56127.18056,Schaller,2012A059
2012A,56127.18056,56127.66667,Yang,2012A038
2012A,56127.41667,56127.66667,Yang,2012A038
2012A,56127.66667,56127.91667,Orton,2012A008
2012A,56128.16667,56128.18056,Schaller,2012A059
2012A,56128.18056,56128.66667,Tokunaga,2012A010
2012A,56128.66667,56128.91667,Orton,2012A008
2012A,56129.16667,56129.18056,Schaller,2012A059
2012A,56129.18056,56129.41597,Yang,2012A038
2012A,56130.16667,56130.18056,Schaller,2012A059
2012A,56130.18056,56130.5,Cushing,2012A080
2012A,56130.41667,56130.66667,DeMeo,2012A006
2012A,56131.16667,56131.18056,Schaller,2012A059
2012A,56131.18056,56131.5,Grundy,2012A009
2012A,56131.5,56131.66667,Lisse,2012A044
2012A,56132.5,56132.66667,Lisse,2012A044
2012A,56136.16667,56136.66667,Engineering,2012A999
2012A,56137.16667,56137.66667,Engineering,2012A999
2012A,56138.16667,56138.66667,Engineering,2012A999
2012A,56139.16667,56139.66667,Engineering,2012A999
2012B,56140.16667,56140.66667,Engineering,2012B999
2012B,56141.16667,56141.66667,Engineering,2012B999
2012B,56142.16667,56142.66667,Engineering,2012B999
2012B,56143.16667,56143.66667,Engineering,2012B999
2012B,56144.16667,56144.66667,Engineering,2012B999
2012B,56145.16667,56145.66667,Engineering,2012B999
2012B,56146.16667,56146.66667,Engineering,2012B999
2012B,56147.16667,56147.66667,Engineering,2012B999
2012B,56148.16667,56148.66667,Engineering,2012B999
2012B,56149.16667,56149.66667,Engineering,2012B999
2012B,56150.16667,56150.66667,Engineering,2012B999
2012B,56151.16667,56151.45833,Engineering,2012B999
2012B,56152.16667,56152.18056,Schaller,2012B062
2012B,56152.18056,56152.35417,DeMeo,2012B006
2012B,56152.35417,56152.45833,Howell,2012B038
2012B,56152.45833,56152.66667,Cartwright,2012B053
2012B,56153.16667,56153.33333,Kelley,2012B050
2012B,56153.33333,56153.43403,DeMeo,2012B006
2012B,56153.45833,56153.66667,Newton,2012B076
2012B,56154.16667,56154.18056,Schaller,2012B062
2012B,56154.18056,56154.43403,Gizis,2012B056
2012B,56154.43403,56154.66667,Melin,2012B070
2012B,56155.16667,56155.29167,Helton,2012B017
2012B,56155.29167,56155.58333,Faherty,2012B040
2012B,56155.43403,56155.66667,Melin,2012B070
2012B,56156.16667,56156.33333,Kelley,2012B050
2012B,56156.33333,56156.58333,Faherty,2012B040
2012B,56156.58333,56156.875,Krasnopolsky,2012B016
2012B,56157.16667,56157.25,Orton,2012B002
2012B,56157.25,56157.54167,Gaidos,2012B005
2012B,56157.58333,56157.875,Krasnopolsky,2012B016
2012B,56158.16667,56158.25,Orton,2012B002
2012B,56158.25,56158.375,Howell,2012B038
2012B,56158.375,56158.54167,Wolters,2012B048
2012B,56158.54167,56158.66667,Orton,2012B001
2012B,56159.16667,56159.41597,Davison,2012B042
2012B,56159.54167,56159.66667,Orton,2012B001
2012B,56160.16667,56160.41597,Davison,2012B042
2012B,56160.41667,56160.52083,Plavchan,2012B021
2012B,56160.52083,56160.66667,Orton,2012B001
2012B,56161.16667,56161.22917,Orton,2012B002
2012B,56161.22917,56161.41597,Bloemhard,2012B065
2012B,56161.41667,56161.52083,Plavchan,2012B021
2012B,56161.52083,56161.66667,Orton,2012B001
2012B,56162.16667,56162.41597,Davison,2012B042
2012B,56162.41667,56162.66667,Rivkin,2012B026
2012B,56163.16667,56163.41597,Davison,2012B042
2012B,56163.41667,56163.66667,Plavchan,2012B021
2012B,56164.16667,56164.58333,Newton,2012B076
2012B,56164.41667,56164.58333,Plavchan,2012B021
2012B,56164.58333,56164.875,Marcq,2012B018
2012B,56165.16667,56165.58333,Newton,2012B076
2012B,56165.58333,56165.875,Marcq,2012B018
2012B,56166.16667,56166.25,Binzel,2012B043
2012B,56166.25,56166.58333,Binzel,2012B043
2012B,56166.58333,56166.875,Marcq,2012B018
2012B,56167.16667,56167.33333,Kelley,2012B050
2012B,56167.33333,56167.5,Lucas,2012B073
2012B,56167.58333,56167.875,Marcq,2012B018
2012B,56168.16667,56168.18056,Schaller,2012B062
2012B,56168.18056,56168.41597,Faherty,2012B040
2012B,56168.5,56168.66667,Rivkin,2012B026
2012B,56169.16667,56169.29167,Howell,2012B038
2012B,56169.29167,56169.41597,Faherty,2012B040
2012B,56169.41667,56169.5,Wolters,2012B048
2012B,56169.5,56169.66667,Rivkin,2012B026
2012B,56170.16667,56170.33333,Kelley,2012B050
2012B,56170.33333,56170.45833,Faherty,2012B040
2012B,56170.41667,56170.66667,Wolters,2012B048
2012B,56171.16667,56171.18056,Schaller,2012B062
2012B,56171.18056,56171.33333,Young,2012B046
2012B,56171.33333,56171.54167,Trilling,2012B036
2012B,56171.45833,56171.66667,Rivkin,2012B026
2012B,56172.16667,56172.41597,Davison,2012B042
2012B,56172.54167,56172.66667,Crotts,2012B084
2012B,56173.16667,56173.41597,Davison,2012B042
2012B,56173.41667,56173.66667,Plavchan,2012B021
2012B,56174.16667,56174.18056,Schaller,2012B062
2012B,56174.18056,56174.54167,Young,2012B046
2012B,56174.41667,56174.66667,Plavchan,2012B021
2012B,56175.16667,56175.18056,Schaller,2012B062
2012B,56175.18056,56175.66667,Zellem,2012B998
2012B,56175.54167,56175.66667,Orton,2012B001
2012B,56176.16667,56176.18056,Schaller,2012B062
2012B,56176.18056,56176.58333,Trombley,2012B037
2012B,56177.16667,56177.18056,Schaller,2012B062
2012B,56177.18056,56177.5,Young,2012B046
2012B,56177.58333,56177.66667,Crotts,2012B084
2012B,56178.16667,56178.18056,Schaller,2012B062
2012B,56178.18056,56178.54167,Young,2012B046
2012B,56178.5,56178.66667,Takir,2012B077
2012B,56179.16667,56179.18056,Schaller,2012B062
2012B,56179.18056,56179.54167,Young,2012B046
2012B,56179.54167,56179.66667,Crotts,2012B084
2012B,56180.16667,56180.29167,Kelley,2012B050
2012B,56180.29167,56180.41597,Polishook,2012B009
2012B,56180.54167,56180.66667,Takir,2012B077
2012B,56181.16667,56181.29167,Kelley,2012B050
2012B,56181.29167,56181.54167,Young,2012B046
2012B,56181.41667,56181.66667,Takir,2012B077
2012B,56182.16667,56182.5,Young,2012B046
2012B,56182.54167,56182.66667,Sitko,2012B014
2012B,56183.16667,56183.66667,Binzel,2012B043
2012B,56183.5,56183.66667,Takir,2012B077
2012B,56184.16667,56184.5,Engineering,2012B999
2012B,56185.16667,56185.5,DeMeo,2012B006
2012B,56185.5,56185.66667,Mann,2012B023
2012B,56186.16667,56186.41597,DeMeo,2012B006
2012B,56186.5,56186.66667,Nedelcu,2012B020
2012B,56187.16667,56187.375,Gaidos,2012B005
2012B,56187.375,56187.5,Lucas,2012B073
2012B,56187.41667,56187.58333,Mann,2012B024
2012B,56187.58333,56187.66667,Fischer,2012B079
2012B,56188.16667,56188.66667,Trombley,2012B037
2012B,56188.5,56188.66667,Mann,2012B023
2012B,56189.16667,56189.66667,Engineering,2012B999
2012B,56190.16667,56190.25,Crotts,2012B084
2012B,56190.25,56190.54167,Cartwright,2012B053
2012B,56191.16667,56191.66667,Glikman,2012B052
2012B,56191.54167,56191.66667,Reddy,2012B069
2012B,56192.16667,56192.66667,Glikman,2012B052
2012B,56193.16667,56193.25,Crotts,2012B084
2012B,56193.25,56193.66667,Engineering,2012B999
2012B,56194.16667,56194.29167,Mann,2012B024
2012B,56194.29167,56194.45833,Gourgeot,2012B058
2012B,56195.16667,56195.29167,Engineering,2012B999
2012B,56195.29167,56195.45833,Gourgeot,2012B058
2012B,56195.45833,56195.66667,Engineering,2012B999
2012B,56196.16667,56196.66667,Burgasser,2012B028
2012B,56196.45833,56196.66667,Engineering,2012B999
2012B,56197.20833,56197.45833,Engineering,2012B999
2012B,56198.16667,56198.70833,Richter,2012B997
2012B,56198.45833,56198.70833,Richter,2012B997
2012B,56199.20833,56199.3125,Engineering,2012B999
2012B,56199.3125,56199.41597,Wolters,2012B048
2012B,56200.20833,56200.4375,Engineering,2012B999
2012B,56200.41667,56200.70833,Richter,2012B997
2012B,56201.375,56201.45833,Engineering,2012B999
2012B,56201.4375,56201.70833,Richter,2012B997
2012B,56202.375,56202.45833,Engineering,2012B999
2012B,56202.45833,56202.875,Richter,2012B997
2012B,56203.375,56203.45833,Engineering,2012B999
2012B,56203.45833,56203.875,Richter,2012B997
2012B,56204.375,56204.45833,Engineering,2012B999
2012B,56204.45833,56204.875,Richter,2012B997
2012B,56205.20833,56205.41597,Engineering,2012B999
2012B,56205.45833,56205.875,Richter,2012B997
2012B,56206.20833,56206.33333,Engineering,2012B999
2012B,56206.33333,56206.45833,Howell,2012B038
2012B,56206.41667,56206.70833,Richter,2012B997
2012B,56207.20833,56207.41597,Engineering,2012B999
2012B,56207.45833,56207.70833,Richter,2012B997
2012B,56208.20833,56208.70833,Richter,2012B997
2012B,56208.41667,56208.70833,Richter,2012B997
2012B,56209.20833,56209.70833,Richter,2012B997
2012B,56210.20833,56210.70833,Richter,2012B997
2012B,56211.16667,56211.29167,Tokunaga,2012B041
2012B,56211.29167,56211.5,Cartwright,2012B053
2012B,56212.16667,56212.41597,Tokunaga,2012B041
2012B,56212.5,56212.66667,Tokunaga,2012B041
2012B,56213.16667,56213.42014,Liu,2012B047
2012B,56213.41667,56213.66667,Flaherty,2012B049
2012B,56214.16667,56214.42014,Liu,2012B047
2012B,56214.42014,56214.66667,Lisse,2012B092
2012B,56215.16667,56215.33333,Howell,2012B038
2012B,56215.33333,56215.66667,Lisse,2012B092
2012B,56215.42014,56215.66667,Lisse,2012B092
2012B,56216.16667,56216.42014,Liu,2012B047
2012B,56217.16667,56217.29167,Engineering,2012B999
2012B,56217.29167,56217.45833,Polishook,2012B009
2012B,56217.42014,56217.66667,Flaherty,2012B049
2012B,56218.16667,56218.29167,Engineering,2012B999
2012B,56218.29167,56218.45833,Polishook,2012B009
2012B,56218.45833,56218.66667,Cabrera,2012B088
2012B,56219.16667,56219.66667,Jackson,2012B998
2012B,56219.45833,56219.66667,Cabrera,2012B088
2012B,56220.16667,56220.66667,Jackson,2012B998
2012B,56221.16667,56221.33333,Howell,2012B038
2012B,56221.33333,56221.4375,Wolters,2012B048
2012B,56222.16667,56222.3125,Burgasser,2012B028
2012B,56222.3125,56222.41597,Wolters,2012B048
2012B,56222.4375,56222.66667,Flaherty,2012B049
2012B,56223.16667,56223.3125,Burgasser,2012B028
2012B,56223.3125,56223.41597,Wolters,2012B048
2012B,56223.41667,56223.66667,Cabrera,2012B088
2012B,56224.16667,56224.66667,Liu,2012B047
2012B,56224.41667,56224.66667,Cabrera,2012B088
2012B,56225.16667,56225.66667,Gagne,2012B015
2012B,56226.16667,56226.41597,Burgasser,2012B028
2012B,56227.16667,56227.42014,Liu,2012B047
2012B,56227.41667,56227.66667,Bender,2012B060
2012B,56228.16667,56228.66667,Terrien,2012B030
2012B,56228.42014,56228.66667,Flaherty,2012B049
2012B,56229.16667,56229.66667,Terrien,2012B030
2012B,56230.16667,56230.66667,Terrien,2012B030
2012B,56231.16667,56231.45833,Cartwright,2012B053
2012B,56232.16667,56232.66667,Smith,2012B072
2012B,56232.45833,56232.66667,Reddy,2012B069
2012B,56233.16667,56233.66667,Smith,2012B072
2012B,56234.16667,56234.33333,Nedelcu,2012B020
2012B,56234.33333,56234.54167,Flaherty,2012B049
2012B,56235.16667,56235.66667,Yang,2012B057
2012B,56235.54167,56235.66667,Sitko,2012B014
2012B,56236.16667,56236.66667,Yang,2012B057
2012B,56237.16667,56237.375,Liu,2012B047
2012B,56237.375,56237.66667,Aller,2012B034
2012B,56238.16667,56238.375,Liu,2012B047
2012B,56238.375,56238.66667,Aller,2012B034
2012B,56239.16667,56239.375,Polishook,2012B009
2012B,56239.375,56239.58333,Lucas,2012B073
2012B,56240.16667,56240.33333,Polishook,2012B009
2012B,56240.33333,56240.58333,Flaherty,2012B049
2012B,56240.58333,56240.66667,Orton,2012B001
2012B,56241.16667,56241.66667,Terrien,2012B030
2012B,56241.58333,56241.66667,Orton,2012B001
2012B,56242.16667,56242.66667,Terrien,2012B030
2012B,56243.16667,56243.66667,Terrien,2012B030
2012B,56244.16667,56244.29167,Binzel,2012B043
2012B,56244.29167,56244.66667,Jasmim,2012B059
2012B,56245.16667,56245.29167,Binzel,2012B043
2012B,56245.29167,56245.66667,Jasmim,2012B059
2012B,56246.16667,56246.41597,Melin,2012B070
2012B,56247.16667,56247.41597,Melin,2012B070
2012B,56247.41667,56247.66667,Liu,2012B047
2012B,56248.16667,56248.66667,Binzel,2012B043
2012B,56248.41667,56248.5,Sitko,2012B014
2012B,56248.5,56248.66667,Polishook,2012B009
2012B,56249.16667,56249.5,Fieber-Beyer,2012B091
2012B,56250.16667,56250.41597,Engineering,2012B999
2012B,56250.5,56250.66667,Reddy,2012B069
2012B,56251.16667,56251.41597,Engineering,2012B999
2012B,56251.41667,56251.66667,Cabrera,2012B088
2012B,56252.16667,56252.66667,Crockett,2012B045
2012B,56252.41667,56252.66667,Cabrera,2012B088
2012B,56253.16667,56253.66667,Crockett,2012B045
2012B,56254.16667,56254.41597,Jasmim,2012B059
2012B,56255.16667,56255.41597,Jasmim,2012B059
2012B,56255.41667,56255.66667,Cabrera,2012B088
2012B,56256.16667,56256.66667,Crockett,2012B045
2012B,56256.41667,56256.66667,Cabrera,2012B088
2012B,56257.16667,56257.66667,Crockett,2012B045
2012B,56258.16667,56258.41597,Crockett,2012B045
2012B,56259.16667,56259.41597,Crockett,2012B045
2012B,56259.41667,56259.66667,Davison,2012B042
2012B,56260.16667,56260.41597,Plavchan,2012B021
2012B,56260.41667,56260.66667,Davison,2012B042
2012B,56261.16667,56261.3125,Engineering,2012B999
2012B,56261.3125,56261.41597,Wolters,2012B048
2012B,56261.41667,56261.66667,Davison,2012B042
2012B,56262.16667,56262.66667,Crockett,2012B045
2012B,56262.41667,56262.66667,Reddy,2012B069
2012B,56263.16667,56263.66667,Crockett,2012B045
2012B,56264.15972,56264.27083,Howell,2012B038
2012B,56264.27083,56264.65972,ODonoghue,2012B074
2012B,56265.16667,56265.66667,ODonoghue,2012B074
2012B,56266.16667,56266.66667,ODonoghue,2012B074
2012B,56267.16667,56267.41597,ODonoghue,2012B074
2012B,56268.16667,56268.66667,ODonoghue,2012B074
2012B,56268.41667,56268.66667,Grundy,2012B086
2012B,56269.16667,56269.41597,Plavchan,2012B021
2012B,56270.16667,56270.41597,Plavchan,2012B021
2012B,56270.41667,56270.66667,Davison,2012B042
2012B,56271.16667,56271.41597,Plavchan,2012B021
2012B,56271.41667,56271.66667,Davison,2012B042
2012B,56272.16667,56272.375,DeMeo,2012B006
2012B,56272.375,56272.66667,Reddy,2012B069
2012B,56272.41667,56272.66667,Davison,2012B042
2012B,56273.16667,56273.29167,Tokunaga,2012B041
2012B,56273.29167,56273.45833,Muzerolle,2012B051
2012B,56274.16667,56274.29167,Howell,2012B038
2012B,56274.29167,56274.66667,Tokunaga,2012B041
2012B,56274.45833,56274.66667,Grundy,2012B086
2012B,56275.16667,56275.41597,Nedelcu,2012B020
2012B,56276.16667,56276.66667,Jun,2012B090
2012B,56276.41667,56276.66667,Tokunaga,2012B041
2012B,56277.16667,56277.41597,Gaidos,2012B005
2012B,56278.16667,56278.41597,Gaidos,2012B005
2012B,56278.41667,56278.5,Polishook,2012B009
2012B,56278.5,56278.66667,Gaidos,2012B005
2012B,56279.16667,56279.33333,Binzel,2012B043
2012B,56279.33333,56279.58333,Reddy,2012B069
2012B,56279.41667,56279.52083,Wolters,2012B048
2012B,56279.52083,56279.66667,Gaidos,2012B005
2012B,56280.16667,56280.29167,Engineering,2012B999
2012B,56280.29167,56280.45833,Muzerolle,2012B051
2012B,56280.58333,56280.66667,Binzel,2012B043
2012B,56281.16667,56281.33333,Engineering,2012B999
2012B,56281.33333,56281.5,Gizis,2012B056
2012B,56281.45833,56281.66667,Mann,2012B023
2012B,56282.16667,56282.29167,Engineering,2012B999
2012B,56282.29167,56282.45833,Muzerolle,2012B051
2012B,56282.5,56282.66667,Takir,2012B077
2012B,56283.16667,56283.66667,Faherty,2012B040
2012B,56283.45833,56283.66667,Mann,2012B023
2012B,56284.16667,56284.66667,Faherty,2012B040
2012B,56287.16667,56287.65278,Burgasser,2012B028
2012B,56288.16667,56288.25,Engineering,2012B999
2012B,56288.25,56288.375,Engineering,2012B999
2012B,56288.375,56288.66667,Engineering,2012B999
2012B,56288.65278,56288.66667,Schaller,2012B062
2012B,56289.16667,56289.41597,Luhman,2012B025
2012B,56290.16667,56290.41597,Muzerolle,2012B051
2012B,56290.41667,56290.52083,Wolters,2012B048
2012B,56290.52083,56290.66667,Engineering,2012B999
2012B,56291.16667,56291.65278,Faherty,2012B039
2012B,56291.41667,56291.65278,Faherty,2012B039
2012B,56291.65278,56291.66667,Schaller,2012B062
2012B,56292.65278,56292.66667,Schaller,2012B062
2012B,56293.16667,56293.41597,Luhman,2012B025
