#
# Generated by M. Cushing, Sun Sep  4 19:56:38 2022
#
# Line list for the ShortXD mode of iSHELL.
#
#=======================================================================================================
#Order   | Vacuum Wavelength   | Species   | Left Window   | Right Window   | Fit Type   | Fit N Terms
#        | (microns)           |           | (Angstroms)   | (Angstroms)    |            |            
#=======================================================================================================
   8     |  0.80083582         |    Ar     |  40.0         |   5.0          | G          | 5          
   8     |  0.80169894         |    Ar     |   5.0         |  60.0          | G          | 5          
   8     |  0.81059204         |    Ar     |  50.0         |   5.0          | G          | 5          
   8     |  0.81175423         |    Ar     |   5.0         |  50.0          | G          | 5          
   8     |  0.82667932         |    Ar     |  70.0         |  70.0          | G          | 5          
   8     |  0.84105192         |    Ar     |  70.0         |   7.0          | G          | 5          
   8     |  0.84269624         |    Ar     |   7.0         |  60.0          | G          | 5          
   8     |  0.85237824         |    Ar     |  50.0         |  50.0          | G          | 5          
   8     |  0.86703238         |    Ar     |  70.0         |  70.0          | G          | 5          
   8     |  0.91254706         |    Ar     |  70.0         |  70.0          | G          | 5          
   8     |  0.91971613         |    Ar     |  20.0         |  10.0          | G          | 5          
   8     |  0.92270294         |    Ar     |  20.0         |  40.0          | G          | 5          
   8     |  0.92940816         |    Ar     |  25.0         |  25.0          | G          | 5          
   8     |  0.93567845         |    Ar     |  25.0         |  50.0          | G          | 5          
   9     |  0.69673514         |    Ar     |  80.0         |  80.0          | G          | 5          
   9     |  0.70691659         |    Ar     |  60.0         |  60.0          | G          | 5          
   9     |  0.71490112         |    Ar     |  40.0         |  40.0          | G          | 5          
   9     |  0.72749396         |    Ar     |  80.0         |  80.0          | G          | 5          
   9     |  0.75059345         |    Ar     |  60.0         |   5.0          | G          | 5          
   9     |  0.75167206         |    Ar     |   5.0         |  60.0          | G          | 5          
   9     |  0.76372072         |    Ar     |  60.0         |  60.0          | G          | 5          
   9     |  0.79503620         |    Ar     |  80.0         |  40.0          | G          | 5          
   9     |  0.80083582         |    Ar     |  30.0         |   5.0          | G          | 5          
   9     |  0.80169894         |    Ar     |   5.0         |  30.0          | G          | 5          
   9     |  0.81059204         |    Ar     |  30.0         |   5.0          | G          | 5          
   9     |  0.81175423         |    Ar     |   5.0         |  60.0          | G          | 5          
   9     |  0.82667932         |    Ar     |  70.0         |  70.0          | G          | 5          
   9     |  0.84105192         |    Ar     |  70.0         |  10.0          | G          | 5          
   9     |  0.84269624         |    Ar     |  10.0         |  70.0          | G          | 5          
   9     |  0.85237824         |    Ar     |  50.0         |  10.0          | G          | 5          
