#
# Generated by M. Cushing, Wed Oct 23 10:59:12 2024
#
# Line list for the LXD_long mode of uSpeX.
#
#=======================================================================================================
#Order   | Vacuum Wavelength   | Species   | Left Window   | Right Window   | Fit Type   | Fit N Terms
#        | (microns)           |           | (Angstroms)   | (Angstroms)    |            |            
#=======================================================================================================
   7     |   2.8843088         |    Ar     |  40.0         | 100.0          | G          | 5          
   7     |   2.9134037         |    Ar     | 100.0         | 100.0          | G          | 5          
   7     |   2.9796793         |    Ar     | 100.0         | 100.0          | G          | 5          
   7     |   2.5132127         |    Ar     |  70.0         |  70.0          | G          | 5          
   7     |   2.5512187         |    Ar     |  90.0         |  90.0          | G          | 5          
   7     |   2.5668023         |    Ar     |  90.0         |  90.0          | G          | 5          
   7     |   2.6550282         |    Ar     |  90.0         |  90.0          | G          | 5          
   7     |   2.6843026         |    Ar     |  50.0         |  50.0          | G          | 5          
   7     |   2.6917052         |    Ar     |  50.0         |  90.0          | G          | 5          
   7     |   2.7363805         |    Ar     | 100.0         |  40.0          | G          | 5          
   8     |   2.2045576         |    Ar     | 100.0         |  20.0          | G          | 5          
   8     |   2.3139516         |    Ar     | 100.0         | 100.0          | G          | 5          
   8     |   2.3851542         |    Ar     | 100.0         |  90.0          | G          | 5          
   8     |   2.3973057         |    Ar     | 100.0         | 100.0          | G          | 5          
   8     |   2.5132127         |    Ar     | 100.0         | 100.0          | G          | 5          
   8     |   2.5494600         |    Ar     | 100.0         |  10.0          | G          | 5          
   8     |   2.5512187         |    Ar     |  10.0         | 100.0          | G          | 5          
   8     |   2.5668023         |    Ar     | 100.0         | 100.0          | G          | 5          
   8     |   2.6550282         |    Ar     | 100.0         | 100.0          | G          | 5          
   8     |   2.6843026         |    Ar     |  50.0         |  50.0          | G          | 5          
   8     |   2.6917052         |    Ar     |  50.0         | 100.0          | G          | 5          
   8     |   2.1338708         |    Ar     | 100.0         | 100.0          | G          | 5          
   8     |   2.1540084         |    Ar     | 100.0         | 100.0          | G          | 5          
   8     |   2.2083206         |    Ar     |  20.0         | 100.0          | G          | 5          
   9     |   2.0621856         |    Ar     | 100.0         | 100.0          | G          | 5          
   9     |   2.0816722         |    Ar     |  50.0         | 100.0          | G          | 5          
   9     |   2.0991839         |    Ar     | 100.0         | 100.0          | G          | 5          
   9     |   2.1338708         |    Ar     | 100.0         | 100.0          | G          | 5          
   9     |   2.1540084         |    Ar     | 100.0         | 100.0          | G          | 5          
   9     |   2.2045576         |    Ar     | 100.0         |  20.0          | G          | 5          
   9     |   2.2083206         |    Ar     |  20.0         | 100.0          | G          | 5          
   9     |   2.3139516         |    Ar     | 100.0         | 100.0          | G          | 5          
   9     |   2.3851542         |    Ar     | 100.0         | 100.0          | G          | 5          
   9     |   2.3973057         |    Ar     | 100.0         | 100.0          | G          | 5          
   9     |   1.9822918         |    Ar     | 100.0         | 100.0          | G          | 5          
   9     |   1.9971180         |    Ar     | 100.0         |  50.0          | G          | 5          
   9     |   2.0322557         |    Ar     | 100.0         | 100.0          | G          | 5          
   9     |   2.0652771         |    Ar     |  10.0         |  60.0          | G          | 5          
  10     |   2.1540084         |    Ar     |  70.0         |  70.0          | G          | 5          
  10     |   2.0991839         |    Ar     |  50.0         |  50.0          | G          | 5          
  10     |   2.0816722         |    Ar     |  50.0         |  50.0          | G          | 5          
  10     |   2.0652771         |    Ar     |  15.0         |  70.0          | G          | 5          
  10     |   2.0621856         |    Ar     |  40.0         |  25.0          | G          | 5          
  10     |   2.0322557         |    Ar     |  40.0         |  40.0          | G          | 5          
  10     |   1.9971180         |    Ar     |  20.0         |  50.0          | G          | 5          
  10     |   1.9822918         |    Ar     |  40.0         |  40.0          | G          | 5          
  10     |   2.2083206         |    Ar     |  30.0         |  80.0          | G          | 5          
  10     |   2.2045576         |    Ar     |  70.0         |  25.0          | G          | 5          
  10     |   2.1338708         |    Ar     |  70.0         |  70.0          | G          | 5          
